First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team,Country,Age
Douglas,Male,08-06-1993,12:42 PM,97308,6.945,TRUE,Marketing,India,24
Thomas,Male,3/31/1996,6:53 AM,61933,4.17,TRUE,,Pakistan,19
Maria,Female,4/23/1993,11:17 AM,130590,11.858,FALSE,Finance,china,23
Jerry,Male,03-04-2005,1:00 PM,138705,9.34,TRUE,Finance,us,19
Larry,Male,1/24/1998,4:47 PM,101004,1.389,TRUE,Client Services,america,19
Dennis,Male,4/18/1987,1:35 AM,115163,10.125,FALSE,Legal,westindies,23
Ruby,Female,8/17/1987,4:20 PM,65476,10.012,TRUE,Product,england,15
,Female,7/20/2015,10:43 AM,45906,11.598,,Finance,south africa,23
Angela,Female,11/22/2005,6:29 AM,95570,18.523,TRUE,Engineering,brazil,22
Frances,Female,08-08-2002,6:51 AM,139852,7.524,TRUE,Business Development,united state,21
Louise,Female,08-12-1980,9:01 AM,63241,15.132,TRUE,,India,23
Julie,Female,10/26/1997,3:19 PM,102508,12.637,TRUE,Legal,Pakistan,18
Brandon,Male,12-01-1980,1:08 AM,112807,17.492,TRUE,Human Resources,china,24
Gary,Male,1/27/2008,11:40 PM,109831,5.831,FALSE,Sales,us,18
Kimberly,Female,1/14/1999,7:13 AM,41426,14.543,TRUE,Finance,america,19
Lillian,Female,06-05-2016,6:09 AM,59414,1.256,FALSE,Product,westindies,15
Jeremy,Male,9/21/2010,5:56 AM,90370,7.369,FALSE,Human Resources,england,15
Shawn,Male,12-07-1986,7:45 PM,111737,6.414,FALSE,Product,south africa,23
Diana,Female,10/23/1981,10:27 AM,132940,19.082,FALSE,Client Services,brazil,24
Donna,Female,7/22/2010,3:48 AM,81014,1.894,FALSE,Product,united state,18
Lois,,4/22/1995,7:18 PM,64714,4.934,TRUE,Legal,India,24
Matthew,Male,09-05-1995,2:12 AM,100612,13.645,FALSE,Marketing,Pakistan,23
Joshua,,03-08-2012,1:58 AM,90816,18.816,TRUE,Client Services,china,18
,Male,6/14/2012,4:19 PM,125792,5.042,,,us,20
John,Male,07-01-1992,10:08 PM,97950,13.873,FALSE,Client Services,america,23
,Male,10-08-2012,1:12 AM,37076,18.576,,Client Services,westindies,21
Craig,Male,2/27/2000,7:45 AM,37598,7.757,TRUE,Marketing,england,21
Scott,,07-11-1991,6:58 PM,122367,5.218,FALSE,Legal,south africa,25
Terry,Male,11/27/1981,6:30 PM,124008,13.464,TRUE,Client Services,brazil,20
Benjamin,Male,1/26/2005,10:06 PM,79529,7.008,TRUE,Legal,united state,23
Christina,Female,08-06-2002,1:19 PM,118780,9.096,TRUE,Engineering,India,21
Joyce,,2/20/2005,2:40 PM,88657,12.752,FALSE,Product,Pakistan,22
,Male,8/21/1998,2:27 PM,122340,6.417,,,china,17
